date,sku,competitor,comp_price
2025-08-26,SKU-001,CompA,101.39
2025-08-26,SKU-001,CompB,98.97
2025-08-27,SKU-001,CompA,99.27
2025-08-27,SKU-001,CompB,96.0
2025-08-28,SKU-001,CompA,95.51
2025-08-28,SKU-001,CompB,91.09
2025-08-29,SKU-001,CompA,93.02
2025-08-29,SKU-001,CompB,93.53
2025-08-30,SKU-001,CompA,90.94
2025-08-30,SKU-001,CompB,86.38
2025-08-31,SKU-001,CompA,89.94
2025-08-31,SKU-001,CompB,87.62
2025-09-01,SKU-001,CompA,96.44
2025-09-01,SKU-001,CompB,95.72
2025-09-02,SKU-001,CompA,93.64
2025-09-02,SKU-001,CompB,94.69
2025-09-03,SKU-001,CompA,92.05
2025-09-03,SKU-001,CompB,94.96
2025-09-04,SKU-001,CompA,88.2
2025-09-04,SKU-001,CompB,90.58
2025-09-05,SKU-001,CompA,90.18
2025-09-05,SKU-001,CompB,88.79
2025-09-06,SKU-001,CompA,95.52
2025-09-06,SKU-001,CompB,94.66
2025-09-07,SKU-001,CompA,96.28
2025-09-07,SKU-001,CompB,92.94
2025-09-08,SKU-001,CompA,102.31
2025-09-08,SKU-001,CompB,100.4
2025-09-09,SKU-001,CompA,93.94
2025-09-09,SKU-001,CompB,97.12
2025-09-10,SKU-001,CompA,93.99
2025-09-10,SKU-001,CompB,93.64
2025-09-11,SKU-001,CompA,91.26
2025-09-11,SKU-001,CompB,91.6
2025-09-12,SKU-001,CompA,93.76
2025-09-12,SKU-001,CompB,93.89
2025-09-13,SKU-001,CompA,88.59
2025-09-13,SKU-001,CompB,89.12
2025-09-14,SKU-001,CompA,94.91
2025-09-14,SKU-001,CompB,96.06
2025-09-15,SKU-001,CompA,97.16
2025-09-15,SKU-001,CompB,93.93
2025-09-16,SKU-001,CompA,89.64
2025-09-16,SKU-001,CompB,92.45
2025-09-17,SKU-001,CompA,93.03
2025-09-17,SKU-001,CompB,91.75
2025-09-18,SKU-001,CompA,92.23
2025-09-18,SKU-001,CompB,94.33
2025-09-19,SKU-001,CompA,92.84
2025-09-19,SKU-001,CompB,93.96
2025-09-20,SKU-001,CompA,84.48
2025-09-20,SKU-001,CompB,87.37
2025-09-21,SKU-001,CompA,91.45
2025-09-21,SKU-001,CompB,91.55
2025-09-22,SKU-001,CompA,89.01
2025-09-22,SKU-001,CompB,94.38
2025-09-23,SKU-001,CompA,99.27
2025-09-23,SKU-001,CompB,97.21
2025-09-24,SKU-001,CompA,92.46
2025-09-24,SKU-001,CompB,90.45
2025-09-25,SKU-001,CompA,94.13
2025-09-25,SKU-001,CompB,94.4
2025-09-26,SKU-001,CompA,95.59
2025-09-26,SKU-001,CompB,100.22
2025-09-27,SKU-001,CompA,92.55
2025-09-27,SKU-001,CompB,89.62
2025-09-28,SKU-001,CompA,90.42
2025-09-28,SKU-001,CompB,91.19
2025-09-29,SKU-001,CompA,90.87
2025-09-29,SKU-001,CompB,88.35
2025-09-30,SKU-001,CompA,98.12
2025-09-30,SKU-001,CompB,93.94
2025-10-01,SKU-001,CompA,95.49
2025-10-01,SKU-001,CompB,97.16
2025-10-02,SKU-001,CompA,93.06
2025-10-02,SKU-001,CompB,94.08
2025-10-03,SKU-001,CompA,94.99
2025-10-03,SKU-001,CompB,91.04
2025-10-04,SKU-001,CompA,94.63
2025-10-04,SKU-001,CompB,94.33
2025-10-05,SKU-001,CompA,96.19
2025-10-05,SKU-001,CompB,93.97
2025-10-06,SKU-001,CompA,99.95
2025-10-06,SKU-001,CompB,99.93
2025-10-07,SKU-001,CompA,91.82
2025-10-07,SKU-001,CompB,96.05
2025-10-08,SKU-001,CompA,93.54
2025-10-08,SKU-001,CompB,92.07
2025-10-09,SKU-001,CompA,95.92
2025-10-09,SKU-001,CompB,92.71
2025-10-10,SKU-001,CompA,97.27
2025-10-10,SKU-001,CompB,93.46
2025-10-11,SKU-001,CompA,96.67
2025-10-11,SKU-001,CompB,93.64
2025-10-12,SKU-001,CompA,93.66
2025-10-12,SKU-001,CompB,93.06
2025-10-13,SKU-001,CompA,93.83
2025-10-13,SKU-001,CompB,93.79
2025-10-14,SKU-001,CompA,97.99
2025-10-14,SKU-001,CompB,98.26
2025-10-15,SKU-001,CompA,93.57
2025-10-15,SKU-001,CompB,94.31
2025-10-16,SKU-001,CompA,86.94
2025-10-16,SKU-001,CompB,91.03
2025-10-17,SKU-001,CompA,93.45
2025-10-17,SKU-001,CompB,93.69
2025-10-18,SKU-001,CompA,96.62
2025-10-18,SKU-001,CompB,92.6
2025-10-19,SKU-001,CompA,93.46
2025-10-19,SKU-001,CompB,90.16
2025-10-20,SKU-001,CompA,95.3
2025-10-20,SKU-001,CompB,91.91
2025-10-21,SKU-001,CompA,88.46
2025-10-21,SKU-001,CompB,89.73
2025-10-22,SKU-001,CompA,97.62
2025-10-22,SKU-001,CompB,95.69
2025-10-23,SKU-001,CompA,95.92
2025-10-23,SKU-001,CompB,94.18
2025-10-24,SKU-001,CompA,92.77
2025-10-24,SKU-001,CompB,92.81
2025-10-25,SKU-001,CompA,94.23
2025-10-25,SKU-001,CompB,91.22
2025-10-26,SKU-001,CompA,91.75
2025-10-26,SKU-001,CompB,93.66
2025-10-27,SKU-001,CompA,94.78
2025-10-27,SKU-001,CompB,98.55
2025-10-28,SKU-001,CompA,89.57
2025-10-28,SKU-001,CompB,88.68
2025-10-29,SKU-001,CompA,96.02
2025-10-29,SKU-001,CompB,94.32
2025-10-30,SKU-001,CompA,97.75
2025-10-30,SKU-001,CompB,97.87
2025-10-31,SKU-001,CompA,96.5
2025-10-31,SKU-001,CompB,96.32
2025-11-01,SKU-001,CompA,89.16
2025-11-01,SKU-001,CompB,88.28
2025-11-02,SKU-001,CompA,95.45
2025-11-02,SKU-001,CompB,97.06
2025-11-03,SKU-001,CompA,96.87
2025-11-03,SKU-001,CompB,97.14
2025-11-04,SKU-001,CompA,90.61
2025-11-04,SKU-001,CompB,94.62
2025-11-05,SKU-001,CompA,99.42
2025-11-05,SKU-001,CompB,99.47
2025-11-06,SKU-001,CompA,98.97
2025-11-06,SKU-001,CompB,98.75
2025-11-07,SKU-001,CompA,93.63
2025-11-07,SKU-001,CompB,93.1
2025-11-08,SKU-001,CompA,96.17
2025-11-08,SKU-001,CompB,91.75
2025-11-09,SKU-001,CompA,91.95
2025-11-09,SKU-001,CompB,87.93
2025-11-10,SKU-001,CompA,92.75
2025-11-10,SKU-001,CompB,91.19
2025-11-11,SKU-001,CompA,98.17
2025-11-11,SKU-001,CompB,96.73
2025-11-12,SKU-001,CompA,90.1
2025-11-12,SKU-001,CompB,86.73
2025-11-13,SKU-001,CompA,96.05
2025-11-13,SKU-001,CompB,99.1
2025-11-14,SKU-001,CompA,99.97
2025-11-14,SKU-001,CompB,100.15
2025-11-15,SKU-001,CompA,96.38
2025-11-15,SKU-001,CompB,95.71
2025-11-16,SKU-001,CompA,95.73
2025-11-16,SKU-001,CompB,96.12
2025-11-17,SKU-001,CompA,93.84
2025-11-17,SKU-001,CompB,94.47
2025-11-18,SKU-001,CompA,101.64
2025-11-18,SKU-001,CompB,99.14
2025-11-19,SKU-001,CompA,93.15
2025-11-19,SKU-001,CompB,95.91
2025-11-20,SKU-001,CompA,88.8
2025-11-20,SKU-001,CompB,92.75
2025-11-21,SKU-001,CompA,96.27
2025-11-21,SKU-001,CompB,93.94
2025-11-22,SKU-001,CompA,88.39
2025-11-22,SKU-001,CompB,85.77
2025-11-23,SKU-001,CompA,96.02
2025-11-23,SKU-001,CompB,98.13
2025-11-24,SKU-001,CompA,99.54
2025-11-24,SKU-001,CompB,96.75
2025-11-25,SKU-001,CompA,92.21
2025-11-25,SKU-001,CompB,93.31
2025-11-26,SKU-001,CompA,95.17
2025-11-26,SKU-001,CompB,95.3
2025-11-27,SKU-001,CompA,98.07
2025-11-27,SKU-001,CompB,98.76
2025-11-28,SKU-001,CompA,93.02
2025-11-28,SKU-001,CompB,91.42
2025-11-29,SKU-001,CompA,89.63
2025-11-29,SKU-001,CompB,92.74
2025-11-30,SKU-001,CompA,99.34
2025-11-30,SKU-001,CompB,102.53
2025-12-01,SKU-001,CompA,91.3
2025-12-01,SKU-001,CompB,95.34
2025-12-02,SKU-001,CompA,93.54
2025-12-02,SKU-001,CompB,96.65
2025-12-03,SKU-001,CompA,91.47
2025-12-03,SKU-001,CompB,91.69
2025-12-04,SKU-001,CompA,97.37
2025-12-04,SKU-001,CompB,94.5
2025-12-05,SKU-001,CompA,88.98
2025-12-05,SKU-001,CompB,88.69
2025-12-06,SKU-001,CompA,94.7
2025-12-06,SKU-001,CompB,97.98
2025-12-07,SKU-001,CompA,93.95
2025-12-07,SKU-001,CompB,95.32
2025-12-08,SKU-001,CompA,90.84
2025-12-08,SKU-001,CompB,89.48
2025-12-09,SKU-001,CompA,103.08
2025-12-09,SKU-001,CompB,104.42
2025-12-10,SKU-001,CompA,97.88
2025-12-10,SKU-001,CompB,97.68
2025-12-11,SKU-001,CompA,99.86
2025-12-11,SKU-001,CompB,95.63
2025-12-12,SKU-001,CompA,93.23
2025-12-12,SKU-001,CompB,93.5
2025-12-13,SKU-001,CompA,90.35
2025-12-13,SKU-001,CompB,94.65
2025-12-14,SKU-001,CompA,97.95
2025-12-14,SKU-001,CompB,101.97
2025-12-15,SKU-001,CompA,101.98
2025-12-15,SKU-001,CompB,101.82
2025-12-16,SKU-001,CompA,98.2
2025-12-16,SKU-001,CompB,96.27
2025-12-17,SKU-001,CompA,93.93
2025-12-17,SKU-001,CompB,89.78
2025-12-18,SKU-001,CompA,100.01
2025-12-18,SKU-001,CompB,99.46
2025-12-19,SKU-001,CompA,98.4
2025-12-19,SKU-001,CompB,102.0
2025-12-20,SKU-001,CompA,100.63
2025-12-20,SKU-001,CompB,101.93
2025-12-21,SKU-001,CompA,95.7
2025-12-21,SKU-001,CompB,97.63
2025-12-22,SKU-001,CompA,96.07
2025-12-22,SKU-001,CompB,91.87
2025-12-23,SKU-001,CompA,93.64
2025-12-23,SKU-001,CompB,93.59
2025-12-24,SKU-001,CompA,96.33
2025-12-24,SKU-001,CompB,101.86
2025-12-25,SKU-001,CompA,94.52
2025-12-25,SKU-001,CompB,95.27
2025-12-26,SKU-001,CompA,99.24
2025-12-26,SKU-001,CompB,99.29
2025-12-27,SKU-001,CompA,97.66
2025-12-27,SKU-001,CompB,96.06
2025-07-01,SKU-002,CompA,57.43
2025-07-01,SKU-002,CompB,57.93
2025-07-02,SKU-002,CompA,58.44
2025-07-02,SKU-002,CompB,59.28
2025-07-03,SKU-002,CompA,57.09
2025-07-03,SKU-002,CompB,55.95
2025-07-04,SKU-002,CompA,52.77
2025-07-04,SKU-002,CompB,54.11
2025-07-05,SKU-002,CompA,56.32
2025-07-05,SKU-002,CompB,56.74
2025-07-06,SKU-002,CompA,54.86
2025-07-06,SKU-002,CompB,54.38
2025-07-07,SKU-002,CompA,55.43
2025-07-07,SKU-002,CompB,54.03
2025-07-08,SKU-002,CompA,57.25
2025-07-08,SKU-002,CompB,56.86
2025-07-09,SKU-002,CompA,51.2
2025-07-09,SKU-002,CompB,51.7
2025-07-10,SKU-002,CompA,54.72
2025-07-10,SKU-002,CompB,55.19
2025-07-11,SKU-002,CompA,56.79
2025-07-11,SKU-002,CompB,57.91
2025-07-12,SKU-002,CompA,55.04
2025-07-12,SKU-002,CompB,58.07
2025-07-13,SKU-002,CompA,58.2
2025-07-13,SKU-002,CompB,56.32
2025-07-14,SKU-002,CompA,55.74
2025-07-14,SKU-002,CompB,58.08
2025-07-15,SKU-002,CompA,57.73
2025-07-15,SKU-002,CompB,56.39
2025-07-16,SKU-002,CompA,54.18
2025-07-16,SKU-002,CompB,54.74
2025-07-17,SKU-002,CompA,54.22
2025-07-17,SKU-002,CompB,53.62
2025-07-18,SKU-002,CompA,55.65
2025-07-18,SKU-002,CompB,56.62
2025-07-19,SKU-002,CompA,62.87
2025-07-19,SKU-002,CompB,60.43
2025-07-20,SKU-002,CompA,58.25
2025-07-20,SKU-002,CompB,58.64
2025-07-21,SKU-002,CompA,57.29
2025-07-21,SKU-002,CompB,55.48
2025-07-22,SKU-002,CompA,55.97
2025-07-22,SKU-002,CompB,56.45
2025-07-23,SKU-002,CompA,54.19
2025-07-23,SKU-002,CompB,56.92
2025-07-24,SKU-002,CompA,60.16
2025-07-24,SKU-002,CompB,59.42
2025-07-25,SKU-002,CompA,56.03
2025-07-25,SKU-002,CompB,54.5
2025-07-26,SKU-002,CompA,59.87
2025-07-26,SKU-002,CompB,60.32
2025-07-27,SKU-002,CompA,58.85
2025-07-27,SKU-002,CompB,59.43
2025-07-28,SKU-002,CompA,58.18
2025-07-28,SKU-002,CompB,59.98
2025-07-29,SKU-002,CompA,56.53
2025-07-29,SKU-002,CompB,56.21
2025-07-30,SKU-002,CompA,58.75
2025-07-30,SKU-002,CompB,55.97
2025-07-31,SKU-002,CompA,58.74
2025-07-31,SKU-002,CompB,60.58
2025-08-01,SKU-002,CompA,53.22
2025-08-01,SKU-002,CompB,53.66
2025-08-02,SKU-002,CompA,60.47
2025-08-02,SKU-002,CompB,63.95
2025-08-03,SKU-002,CompA,58.72
2025-08-03,SKU-002,CompB,59.39
2025-08-04,SKU-002,CompA,54.39
2025-08-04,SKU-002,CompB,57.16
2025-08-05,SKU-002,CompA,55.64
2025-08-05,SKU-002,CompB,55.75
2025-08-06,SKU-002,CompA,54.64
2025-08-06,SKU-002,CompB,54.18
2025-08-07,SKU-002,CompA,54.71
2025-08-07,SKU-002,CompB,55.11
2025-08-08,SKU-002,CompA,56.63
2025-08-08,SKU-002,CompB,57.85
2025-08-09,SKU-002,CompA,58.6
2025-08-09,SKU-002,CompB,59.37
2025-08-10,SKU-002,CompA,57.21
2025-08-10,SKU-002,CompB,57.25
2025-08-11,SKU-002,CompA,56.35
2025-08-11,SKU-002,CompB,55.25
2025-08-12,SKU-002,CompA,57.79
2025-08-12,SKU-002,CompB,57.88
2025-08-13,SKU-002,CompA,58.23
2025-08-13,SKU-002,CompB,55.93
2025-08-14,SKU-002,CompA,62.27
2025-08-14,SKU-002,CompB,60.41
2025-08-15,SKU-002,CompA,55.72
2025-08-15,SKU-002,CompB,55.6
2025-08-16,SKU-002,CompA,58.4
2025-08-16,SKU-002,CompB,59.52
2025-08-17,SKU-002,CompA,57.14
2025-08-17,SKU-002,CompB,57.46
2025-08-18,SKU-002,CompA,56.2
2025-08-18,SKU-002,CompB,57.58
2025-08-19,SKU-002,CompA,53.92
2025-08-19,SKU-002,CompB,54.99
2025-08-20,SKU-002,CompA,60.46
2025-08-20,SKU-002,CompB,60.08
2025-08-21,SKU-002,CompA,58.73
2025-08-21,SKU-002,CompB,57.93
2025-08-22,SKU-002,CompA,57.38
2025-08-22,SKU-002,CompB,56.02
2025-08-23,SKU-002,CompA,55.81
2025-08-23,SKU-002,CompB,57.44
2025-08-24,SKU-002,CompA,54.79
2025-08-24,SKU-002,CompB,52.56
2025-08-25,SKU-002,CompA,60.22
2025-08-25,SKU-002,CompB,57.11
2025-08-26,SKU-002,CompA,57.12
2025-08-26,SKU-002,CompB,56.69
2025-08-27,SKU-002,CompA,57.58
2025-08-27,SKU-002,CompB,56.95
2025-08-28,SKU-002,CompA,52.01
2025-08-28,SKU-002,CompB,52.53
2025-08-29,SKU-002,CompA,52.99
2025-08-29,SKU-002,CompB,52.33
2025-08-30,SKU-002,CompA,57.46
2025-08-30,SKU-002,CompB,55.02
2025-08-31,SKU-002,CompA,58.77
2025-08-31,SKU-002,CompB,59.49
2025-09-01,SKU-002,CompA,58.63
2025-09-01,SKU-002,CompB,58.64
2025-09-02,SKU-002,CompA,53.88
2025-09-02,SKU-002,CompB,54.26
2025-09-03,SKU-002,CompA,54.83
2025-09-03,SKU-002,CompB,54.19
2025-09-04,SKU-002,CompA,62.94
2025-09-04,SKU-002,CompB,61.16
2025-09-05,SKU-002,CompA,56.64
2025-09-05,SKU-002,CompB,57.63
2025-09-06,SKU-002,CompA,55.85
2025-09-06,SKU-002,CompB,54.3
2025-09-07,SKU-002,CompA,57.32
2025-09-07,SKU-002,CompB,56.31
2025-09-08,SKU-002,CompA,53.29
2025-09-08,SKU-002,CompB,54.08
2025-09-09,SKU-002,CompA,57.23
2025-09-09,SKU-002,CompB,56.41
2025-09-10,SKU-002,CompA,56.16
2025-09-10,SKU-002,CompB,57.57
2025-09-11,SKU-002,CompA,56.74
2025-09-11,SKU-002,CompB,57.0
2025-09-12,SKU-002,CompA,55.02
2025-09-12,SKU-002,CompB,56.7
2025-09-13,SKU-002,CompA,59.39
2025-09-13,SKU-002,CompB,57.97
2025-09-14,SKU-002,CompA,52.32
2025-09-14,SKU-002,CompB,52.81
2025-09-15,SKU-002,CompA,53.91
2025-09-15,SKU-002,CompB,55.01
2025-09-16,SKU-002,CompA,61.34
2025-09-16,SKU-002,CompB,59.86
2025-09-17,SKU-002,CompA,54.8
2025-09-17,SKU-002,CompB,55.18
2025-09-18,SKU-002,CompA,58.79
2025-09-18,SKU-002,CompB,59.11
2025-09-19,SKU-002,CompA,55.24
2025-09-19,SKU-002,CompB,54.05
2025-09-20,SKU-002,CompA,52.02
2025-09-20,SKU-002,CompB,53.63
2025-09-21,SKU-002,CompA,58.58
2025-09-21,SKU-002,CompB,56.35
2025-09-22,SKU-002,CompA,58.1
2025-09-22,SKU-002,CompB,55.85
2025-09-23,SKU-002,CompA,55.53
2025-09-23,SKU-002,CompB,55.56
2025-09-24,SKU-002,CompA,56.19
2025-09-24,SKU-002,CompB,56.97
2025-09-25,SKU-002,CompA,57.33
2025-09-25,SKU-002,CompB,57.6
2025-09-26,SKU-002,CompA,61.37
2025-09-26,SKU-002,CompB,58.37
2025-09-27,SKU-002,CompA,54.72
2025-09-27,SKU-002,CompB,54.82
2025-09-28,SKU-002,CompA,53.63
2025-09-28,SKU-002,CompB,54.97
2025-09-29,SKU-002,CompA,58.16
2025-09-29,SKU-002,CompB,56.56
2025-09-30,SKU-002,CompA,55.59
2025-09-30,SKU-002,CompB,56.28
2025-10-01,SKU-002,CompA,60.16
2025-10-01,SKU-002,CompB,60.81
2025-10-02,SKU-002,CompA,58.81
2025-10-02,SKU-002,CompB,57.69
2025-10-03,SKU-002,CompA,56.82
2025-10-03,SKU-002,CompB,57.56
2025-10-04,SKU-002,CompA,58.2
2025-10-04,SKU-002,CompB,55.78
2025-10-05,SKU-002,CompA,55.95
2025-10-05,SKU-002,CompB,59.03
2025-10-06,SKU-002,CompA,56.58
2025-10-06,SKU-002,CompB,59.41
2025-10-07,SKU-002,CompA,53.79
2025-10-07,SKU-002,CompB,56.12
2025-10-08,SKU-002,CompA,54.97
2025-10-08,SKU-002,CompB,56.02
2025-10-09,SKU-002,CompA,58.66
2025-10-09,SKU-002,CompB,59.26
2025-10-10,SKU-002,CompA,55.43
2025-10-10,SKU-002,CompB,55.65
2025-10-11,SKU-002,CompA,55.11
2025-10-11,SKU-002,CompB,55.8
2025-10-12,SKU-002,CompA,59.89
2025-10-12,SKU-002,CompB,60.86
2025-10-13,SKU-002,CompA,54.45
2025-10-13,SKU-002,CompB,53.66
2025-10-14,SKU-002,CompA,57.95
2025-10-14,SKU-002,CompB,58.04
2025-10-15,SKU-002,CompA,58.51
2025-10-15,SKU-002,CompB,59.05
2025-10-16,SKU-002,CompA,53.79
2025-10-16,SKU-002,CompB,54.1
2025-10-17,SKU-002,CompA,57.51
2025-10-17,SKU-002,CompB,59.96
2025-10-18,SKU-002,CompA,59.54
2025-10-18,SKU-002,CompB,59.37
2025-10-19,SKU-002,CompA,60.03
2025-10-19,SKU-002,CompB,56.83
2025-10-20,SKU-002,CompA,58.33
2025-10-20,SKU-002,CompB,57.41
2025-10-21,SKU-002,CompA,54.75
2025-10-21,SKU-002,CompB,57.16
2025-10-22,SKU-002,CompA,54.31
2025-10-22,SKU-002,CompB,55.79
2025-10-23,SKU-002,CompA,61.01
2025-10-23,SKU-002,CompB,61.39
2025-10-24,SKU-002,CompA,60.99
2025-10-24,SKU-002,CompB,58.31
2025-10-25,SKU-002,CompA,56.01
2025-10-25,SKU-002,CompB,55.0
2025-10-26,SKU-002,CompA,56.22
2025-10-26,SKU-002,CompB,57.6
2025-10-27,SKU-002,CompA,56.44
2025-10-27,SKU-002,CompB,56.24
2025-10-28,SKU-002,CompA,53.58
2025-10-28,SKU-002,CompB,52.73
2025-10-29,SKU-002,CompA,54.5
2025-10-29,SKU-002,CompB,56.9
2025-10-30,SKU-002,CompA,60.73
2025-10-30,SKU-002,CompB,59.3
2025-10-31,SKU-002,CompA,54.99
2025-10-31,SKU-002,CompB,55.12
2025-11-01,SKU-002,CompA,57.83
2025-11-01,SKU-002,CompB,56.94
2025-11-02,SKU-002,CompA,56.87
2025-11-02,SKU-002,CompB,56.7
2025-11-03,SKU-002,CompA,54.75
2025-11-03,SKU-002,CompB,56.65
2025-11-04,SKU-002,CompA,54.56
2025-11-04,SKU-002,CompB,54.79
2025-11-05,SKU-002,CompA,57.4
2025-11-05,SKU-002,CompB,57.66
2025-11-06,SKU-002,CompA,61.2
2025-11-06,SKU-002,CompB,60.99
2025-11-07,SKU-002,CompA,56.22
2025-11-07,SKU-002,CompB,56.43
2025-11-08,SKU-002,CompA,57.3
2025-11-08,SKU-002,CompB,57.9
2025-11-09,SKU-002,CompA,55.92
2025-11-09,SKU-002,CompB,57.67
2025-11-10,SKU-002,CompA,58.01
2025-11-10,SKU-002,CompB,57.53
2025-11-11,SKU-002,CompA,54.31
2025-11-11,SKU-002,CompB,56.18
2025-11-12,SKU-002,CompA,55.92
2025-11-12,SKU-002,CompB,57.23
2025-11-13,SKU-002,CompA,59.34
2025-11-13,SKU-002,CompB,58.08
2025-11-14,SKU-002,CompA,63.51
2025-11-14,SKU-002,CompB,64.52
2025-11-15,SKU-002,CompA,55.45
2025-11-15,SKU-002,CompB,55.81
2025-11-16,SKU-002,CompA,53.4
2025-11-16,SKU-002,CompB,51.23
2025-11-17,SKU-002,CompA,54.48
2025-11-17,SKU-002,CompB,55.33
2025-11-18,SKU-002,CompA,60.86
2025-11-18,SKU-002,CompB,60.82
2025-11-19,SKU-002,CompA,57.82
2025-11-19,SKU-002,CompB,56.44
2025-11-20,SKU-002,CompA,60.41
2025-11-20,SKU-002,CompB,57.6
2025-11-21,SKU-002,CompA,62.21
2025-11-21,SKU-002,CompB,59.79
2025-11-22,SKU-002,CompA,57.61
2025-11-22,SKU-002,CompB,57.82
2025-11-23,SKU-002,CompA,55.93
2025-11-23,SKU-002,CompB,57.84
2025-11-24,SKU-002,CompA,57.66
2025-11-24,SKU-002,CompB,57.91
2025-11-25,SKU-002,CompA,56.87
2025-11-25,SKU-002,CompB,54.33
2025-11-26,SKU-002,CompA,58.21
2025-11-26,SKU-002,CompB,58.04
2025-11-27,SKU-002,CompA,58.07
2025-11-27,SKU-002,CompB,59.21
2025-11-28,SKU-002,CompA,57.05
2025-11-28,SKU-002,CompB,54.61
2025-11-29,SKU-002,CompA,56.73
2025-11-29,SKU-002,CompB,55.64
2025-11-30,SKU-002,CompA,59.45
