date,sku,price,units,cost,promo_flag
2025-09-25,SKU-001,94.79,14,57.09,0
2025-09-26,SKU-001,94.31,14,57.09,0
2025-09-27,SKU-001,93.25,14,57.09,0
2025-09-28,SKU-001,93.32,10,57.09,0
2025-09-29,SKU-001,94.35,14,57.09,0
2025-09-30,SKU-001,92.54,17,57.09,0
2025-10-01,SKU-001,94.78,13,57.09,0
2025-10-02,SKU-001,92.67,12,57.09,0
2025-10-03,SKU-001,94.72,9,57.09,0
2025-10-04,SKU-001,75.87,21,57.09,1
2025-10-05,SKU-001,95.48,15,57.09,0
2025-10-06,SKU-001,94.06,14,57.09,0
2025-10-07,SKU-001,91.58,13,57.09,0
2025-10-08,SKU-001,93.1,13,57.09,0
2025-10-09,SKU-001,96.04,13,57.09,0
2025-10-10,SKU-001,100.54,12,57.09,0
2025-10-11,SKU-001,96.26,18,57.09,0
2025-10-12,SKU-001,98.56,12,57.09,0
2025-10-13,SKU-001,100.03,12,57.09,0
2025-10-14,SKU-001,97.99,14,57.09,0
2025-10-15,SKU-001,88.25,24,57.09,1
2025-10-16,SKU-001,86.36,11,57.09,0
2025-10-17,SKU-001,92.66,20,57.09,0
2025-10-18,SKU-001,95.06,14,57.09,0
2025-10-19,SKU-001,81.36,25,57.09,1
2025-10-20,SKU-001,97.82,14,57.09,0
2025-10-21,SKU-001,77.97,24,57.09,1
2025-10-22,SKU-001,93.31,18,57.09,0
2025-10-23,SKU-001,96.86,15,57.09,0
2025-10-24,SKU-001,96.48,14,57.09,0
2025-10-25,SKU-001,87.39,19,57.09,1
2025-10-26,SKU-001,93.73,16,57.09,0
2025-10-27,SKU-001,93.65,13,57.09,0
2025-10-28,SKU-001,93.26,13,57.09,0
2025-10-29,SKU-001,96.61,14,57.09,0
2025-10-30,SKU-001,93.16,14,57.09,0
2025-10-31,SKU-001,101.63,12,57.09,0
2025-11-01,SKU-001,94.25,18,57.09,0
2025-11-02,SKU-001,95.98,14,57.09,0
2025-11-03,SKU-001,92.09,22,57.09,0
2025-11-04,SKU-001,88.47,18,57.09,1
2025-11-05,SKU-001,80.46,23,57.09,1
2025-11-06,SKU-001,99.17,16,57.09,0
2025-11-07,SKU-001,74.68,21,57.09,1
2025-11-08,SKU-001,93.91,15,57.09,0
2025-11-09,SKU-001,77.47,22,57.09,1
2025-11-10,SKU-001,99.71,8,57.09,0
2025-11-11,SKU-001,98.61,13,57.09,0
2025-11-12,SKU-001,99.57,11,57.09,0
2025-11-13,SKU-001,89.26,23,57.09,1
2025-11-14,SKU-001,95.0,8,57.09,0
2025-11-15,SKU-001,93.96,13,57.09,0
2025-11-16,SKU-001,85.94,19,57.09,1
2025-11-17,SKU-001,95.11,10,57.09,0
2025-11-18,SKU-001,86.22,23,57.09,1
2025-11-19,SKU-001,93.95,19,57.09,0
2025-11-20,SKU-001,91.68,15,57.09,0
2025-11-21,SKU-001,92.66,14,57.09,0
2025-11-22,SKU-001,92.66,11,57.09,0
2025-11-23,SKU-001,94.56,17,57.09,0
2025-11-24,SKU-001,93.05,12,57.09,0
2025-11-25,SKU-001,88.19,12,57.09,0
2025-11-26,SKU-001,99.09,17,57.09,0
2025-11-27,SKU-001,93.51,10,57.09,0
2025-11-28,SKU-001,95.54,15,57.09,0
2025-11-29,SKU-001,76.48,26,57.09,1
2025-11-30,SKU-001,96.53,19,57.09,0
2025-12-01,SKU-001,94.75,14,57.09,0
2025-12-02,SKU-001,88.96,15,57.09,0
2025-12-03,SKU-001,97.02,12,57.09,0
2025-12-04,SKU-001,90.21,12,57.09,0
2025-12-05,SKU-001,76.28,19,57.09,1
2025-12-06,SKU-001,91.33,16,57.09,0
2025-12-07,SKU-001,76.52,23,57.09,1
2025-12-08,SKU-001,81.92,25,57.09,1
2025-12-09,SKU-001,95.45,14,57.09,0
2025-12-10,SKU-001,92.42,12,57.09,0
2025-12-11,SKU-001,78.69,25,57.09,1
2025-12-12,SKU-001,75.18,22,57.09,1
2025-12-13,SKU-001,73.46,22,57.09,1
2025-12-14,SKU-001,90.38,12,57.09,0
2025-12-15,SKU-001,95.19,16,57.09,0
2025-12-16,SKU-001,89.71,11,57.09,0
2025-12-17,SKU-001,98.88,9,57.09,0
2025-12-18,SKU-001,96.32,12,57.09,0
2025-12-19,SKU-001,96.66,13,57.09,0
2025-12-20,SKU-001,90.23,13,57.09,0
2025-12-21,SKU-001,94.76,16,57.09,0
2025-12-22,SKU-001,97.02,15,57.09,0
2025-12-23,SKU-001,81.1,13,57.09,1
2025-12-24,SKU-001,95.71,13,57.09,0
2025-12-25,SKU-001,93.81,14,57.09,0
2025-12-26,SKU-001,94.36,18,57.09,0
2025-12-27,SKU-001,92.26,15,57.09,0
2025-07-01,SKU-002,54.12,80,42.38,0
2025-07-02,SKU-002,60.75,91,42.38,0
2025-07-03,SKU-002,57.72,85,42.38,0
2025-07-04,SKU-002,56.1,63,42.38,0
2025-07-05,SKU-002,55.18,79,42.38,0
2025-07-06,SKU-002,49.69,209,42.38,1
2025-07-07,SKU-002,58.69,73,42.38,0
2025-07-08,SKU-002,53.84,78,42.38,0
2025-07-09,SKU-002,59.21,78,42.38,0
2025-07-10,SKU-002,55.16,89,42.38,0
2025-07-11,SKU-002,56.71,73,42.38,0
2025-07-12,SKU-002,55.78,65,42.38,0
2025-07-13,SKU-002,54.8,101,42.38,0
2025-07-14,SKU-002,57.39,62,42.38,0
2025-07-15,SKU-002,58.41,69,42.38,0
2025-07-16,SKU-002,54.99,53,42.38,0
2025-07-17,SKU-002,58.1,54,42.38,0
2025-07-18,SKU-002,56.37,73,42.38,0
2025-07-19,SKU-002,57.7,67,42.38,0
2025-07-20,SKU-002,54.72,97,42.38,0
2025-07-21,SKU-002,57.65,74,42.38,0
2025-07-22,SKU-002,54.11,89,42.38,0
2025-07-23,SKU-002,57.48,97,42.38,0
2025-07-24,SKU-002,55.73,81,42.38,0
2025-07-25,SKU-002,57.17,81,42.38,0
2025-07-26,SKU-002,51.65,133,42.38,1
2025-07-27,SKU-002,58.07,61,42.38,0
2025-07-28,SKU-002,57.37,72,42.38,0
2025-07-29,SKU-002,49.59,129,42.38,1
2025-07-30,SKU-002,56.76,80,42.38,0
2025-07-31,SKU-002,55.4,69,42.38,0
2025-08-01,SKU-002,51.07,98,42.38,1
2025-08-02,SKU-002,57.86,59,42.38,0
2025-08-03,SKU-002,57.4,116,42.38,0
2025-08-04,SKU-002,56.87,83,42.38,0
2025-08-05,SKU-002,56.15,60,42.38,0
2025-08-06,SKU-002,44.5,141,42.38,1
2025-08-07,SKU-002,57.1,67,42.38,0
2025-08-08,SKU-002,45.34,165,42.38,1
2025-08-09,SKU-002,56.17,100,42.38,0
2025-08-10,SKU-002,56.18,115,42.38,0
2025-08-11,SKU-002,45.29,125,42.38,1
2025-08-12,SKU-002,55.58,78,42.38,0
2025-08-13,SKU-002,57.66,59,42.38,0
2025-08-14,SKU-002,52.98,103,42.38,0
2025-08-15,SKU-002,58.9,74,42.38,0
2025-08-16,SKU-002,47.57,155,42.38,1
2025-08-17,SKU-002,57.31,82,42.38,0
2025-08-18,SKU-002,53.77,84,42.38,0
2025-08-19,SKU-002,57.98,83,42.38,0
2025-08-20,SKU-002,58.31,61,42.38,0
2025-08-21,SKU-002,55.24,79,42.38,0
2025-08-22,SKU-002,55.61,90,42.38,0
2025-08-23,SKU-002,57.21,93,42.38,0
2025-08-24,SKU-002,58.31,78,42.38,0
2025-08-25,SKU-002,58.28,86,42.38,0
2025-08-26,SKU-002,44.5,140,42.38,1
2025-08-27,SKU-002,54.02,104,42.38,0
2025-08-28,SKU-002,56.37,79,42.38,0
2025-08-29,SKU-002,58.09,59,42.38,0
2025-08-30,SKU-002,54.49,73,42.38,0
2025-08-31,SKU-002,56.93,84,42.38,0
2025-09-01,SKU-002,55.82,45,42.38,0
2025-09-02,SKU-002,58.91,58,42.38,0
2025-09-03,SKU-002,57.06,62,42.38,0
2025-09-04,SKU-002,56.46,59,42.38,0
2025-09-05,SKU-002,55.99,77,42.38,0
2025-09-06,SKU-002,52.08,195,42.38,1
2025-09-07,SKU-002,56.03,100,42.38,0
2025-09-08,SKU-002,44.5,136,42.38,1
2025-09-09,SKU-002,50.43,130,42.38,1
2025-09-10,SKU-002,53.91,88,42.38,0
2025-09-11,SKU-002,56.72,77,42.38,0
2025-09-12,SKU-002,46.09,149,42.38,1
2025-09-13,SKU-002,56.24,75,42.38,0
2025-09-14,SKU-002,59.08,97,42.38,0
2025-09-15,SKU-002,58.28,71,42.38,0
2025-09-16,SKU-002,57.18,73,42.38,0
2025-09-17,SKU-002,52.69,106,42.38,0
2025-09-18,SKU-002,50.92,105,42.38,1
2025-09-19,SKU-002,60.44,57,42.38,0
2025-09-20,SKU-002,55.23,107,42.38,0
2025-09-21,SKU-002,44.5,142,42.38,1
2025-09-22,SKU-002,47.91,137,42.38,1
2025-09-23,SKU-002,49.91,103,42.38,1
2025-09-24,SKU-002,55.59,63,42.38,0
2025-09-25,SKU-002,56.99,81,42.38,0
2025-09-26,SKU-002,58.56,83,42.38,0
2025-09-27,SKU-002,57.59,94,42.38,0
2025-09-28,SKU-002,55.36,93,42.38,0
2025-09-29,SKU-002,57.99,73,42.38,0
2025-09-30,SKU-002,57.23,73,42.38,0
2025-10-01,SKU-002,57.88,110,42.38,0
2025-10-02,SKU-002,56.55,79,42.38,0
2025-10-03,SKU-002,61.79,58,42.38,0
2025-10-04,SKU-002,48.35,126,42.38,1
2025-10-05,SKU-002,55.77,78,42.38,0
2025-10-06,SKU-002,59.39,87,42.38,0
2025-10-07,SKU-002,56.1,72,42.38,0
2025-10-08,SKU-002,57.98,67,42.38,0
2025-10-09,SKU-002,44.5,142,42.38,1
2025-10-10,SKU-002,55.56,79,42.38,0
2025-10-11,SKU-002,56.79,81,42.38,0
2025-10-12,SKU-002,56.65,93,42.38,0
2025-10-13,SKU-002,59.37,70,42.38,0
2025-10-14,SKU-002,54.61,80,42.38,0
2025-10-15,SKU-002,48.77,147,42.38,1
2025-10-16,SKU-002,55.57,76,42.38,0
2025-10-17,SKU-002,55.77,84,42.38,0
2025-10-18,SKU-002,56.14,137,42.38,1
2025-10-19,SKU-002,57.72,90,42.38,0
2025-10-20,SKU-002,56.82,83,42.38,0
2025-10-21,SKU-002,57.87,85,42.38,0
2025-10-22,SKU-002,60.39,85,42.38,0
2025-10-23,SKU-002,49.94,154,42.38,1
2025-10-24,SKU-002,45.39,239,42.38,1
2025-10-25,SKU-002,52.22,145,42.38,1
2025-10-26,SKU-002,59.37,82,42.38,0
2025-10-27,SKU-002,57.78,108,42.38,0
2025-10-28,SKU-002,59.11,77,42.38,0
2025-10-29,SKU-002,45.11,151,42.38,1
2025-10-30,SKU-002,58.59,93,42.38,0
2025-10-31,SKU-002,46.11,192,42.38,1
2025-11-01,SKU-002,57.09,56,42.38,0
2025-11-02,SKU-002,59.85,72,42.38,0
2025-11-03,SKU-002,50.99,103,42.38,1
2025-11-04,SKU-002,44.5,156,42.38,1
2025-11-05,SKU-002,54.53,71,42.38,0
2025-11-06,SKU-002,57.08,55,42.38,0
2025-11-07,SKU-002,56.4,84,42.38,0
2025-11-08,SKU-002,55.96,73,42.38,0
2025-11-09,SKU-002,53.09,123,42.38,0
2025-11-10,SKU-002,59.48,77,42.38,0
2025-11-11,SKU-002,59.81,84,42.38,0
2025-11-12,SKU-002,60.28,56,42.38,0
2025-11-13,SKU-002,55.47,75,42.38,0
2025-11-14,SKU-002,58.42,67,42.38,0
2025-11-15,SKU-002,56.24,73,42.38,0
2025-11-16,SKU-002,56.12,68,42.38,0
2025-11-17,SKU-002,55.95,97,42.38,0
2025-11-18,SKU-002,56.41,64,42.38,0
2025-11-19,SKU-002,58.46,61,42.38,0
2025-11-20,SKU-002,48.63,135,42.38,1
2025-11-21,SKU-002,55.85,75,42.38,0
2025-11-22,SKU-002,58.1,88,42.38,0
2025-11-23,SKU-002,57.77,73,42.38,0
2025-11-24,SKU-002,57.37,95,42.38,0
2025-11-25,SKU-002,60.21,65,42.38,0
2025-11-26,SKU-002,57.03,67,42.38,0
2025-11-27,SKU-002,57.4,63,42.38,0
2025-11-28,SKU-002,57.98,83,42.38,0
2025-11-29,SKU-002,44.82,168,42.38,1
2025-11-30,SKU-002,56.5,109,42.38,0
2025-12-01,SKU-002,59.43,59,42.38,0
2025-12-02,SKU-002,57.96,94,42.38,0
2025-12-03,SKU-002,55.76,98,42.38,0
2025-12-04,SKU-002,57.74,74,42.38,0
2025-12-05,SKU-002,55.73,87,42.38,0
2025-12-06,SKU-002,57.65,74,42.38,0
2025-12-07,SKU-002,59.18,75,42.38,0
2025-12-08,SKU-002,58.57,51,42.38,0
2025-12-09,SKU-002,55.83,68,42.38,0
2025-12-10,SKU-002,56.89,64,42.38,0
2025-12-11,SKU-002,57.06,92,42.38,0
2025-12-12,SKU-002,56.15,64,42.38,0
2025-12-13,SKU-002,59.97,118,42.38,0
2025-12-14,SKU-002,44.5,182,42.38,1
2025-12-15,SKU-002,55.43,60,42.38,0
2025-12-16,SKU-002,56.69,85,42.38,0
2025-12-17,SKU-002,56.74,82,42.38,0
2025-12-18,SKU-002,46.91,146,42.38,1
2025-12-19,SKU-002,53.88,80,42.38,0
2025-12-20,SKU-002,58.0,69,42.38,0
2025-12-21,SKU-002,44.5,104,42.38,1
2025-12-22,SKU-002,58.37,70,42.38,0
2025-12-23,SKU-002,51.23,91,42.38,1
2025-12-24,SKU-002,55.6,61,42.38,0
2025-12-25,SKU-002,56.36,64,42.38,0
2025-12-26,SKU-002,55.69,56,42.38,0
2025-12-27,SKU-002,56.35,91,42.38,0
2025-07-01,SKU-003,107.53,23,72.4,0
2025-07-02,SKU-003,99.11,21,72.4,0
2025-07-03,SKU-003,106.74,24,72.4,0
2025-07-04,SKU-003,112.4,23,72.4,0
2025-07-05,SKU-003,105.73,25,72.4,0
2025-07-06,SKU-003,102.76,22,72.4,0
2025-07-07,SKU-003,102.37,25,72.4,0
2025-07-08,SKU-003,87.74,40,72.4,1
2025-07-09,SKU-003,102.38,21,72.4,0
2025-07-10,SKU-003,99.28,20,72.4,1
2025-07-11,SKU-003,95.98,20,72.4,1
2025-07-12,SKU-003,107.2,24,72.4,0
2025-07-13,SKU-003,104.4,28,72.4,0
2025-07-14,SKU-003,102.39,27,72.4,0
2025-07-15,SKU-003,104.92,22,72.4,0
2025-07-16,SKU-003,88.31,24,72.4,1
2025-07-17,SKU-003,104.36,20,72.4,0
2025-07-18,SKU-003,76.02,36,72.4,1
2025-07-19,SKU-003,107.73,27,72.4,0
2025-07-20,SKU-003,101.61,23,72.4,0
2025-07-21,SKU-003,104.41,20,72.4,0
2025-07-22,SKU-003,102.89,23,72.4,0
2025-07-23,SKU-003,110.06,23,72.4,0
2025-07-24,SKU-003,96.5,22,72.4,1
2025-07-25,SKU-003,106.67,21,72.4,0
2025-07-26,SKU-003,79.83,47,72.4,1
2025-07-27,SKU-003,97.37,32,72.4,1
2025-07-28,SKU-003,107.82,20,72.4,0
2025-07-29,SKU-003,105.82,31,72.4,0
2025-07-30,SKU-003,101.86,29,72.4,0
2025-07-31,SKU-003,94.96,28,72.4,1
2025-08-01,SKU-003,101.71,34,72.4,0
2025-08-02,SKU-003,104.97,26,72.4,0
2025-08-03,SKU-003,106.17,38,72.4,0
2025-08-04,SKU-003,111.45,26,72.4,0
2025-08-05,SKU-003,103.33,27,72.4,0
2025-08-06,SKU-003,84.14,28,72.4,1
2025-08-07,SKU-003,97.77,25,72.4,0
2025-08-08,SKU-003,102.46,19,72.4,0
2025-08-09,SKU-003,100.32,28,72.4,0
2025-08-10,SKU-003,103.94,21,72.4,0
2025-08-11,SKU-003,105.68,28,72.4,0
2025-08-12,SKU-003,103.93,21,72.4,0
2025-08-13,SKU-003,84.43,29,72.4,1
2025-08-14,SKU-003,76.22,25,72.4,1
2025-08-15,SKU-003,104.14,27,72.4,0
2025-08-16,SKU-003,96.39,26,72.4,1
2025-08-17,SKU-003,102.08,35,72.4,0
2025-08-18,SKU-003,110.45,19,72.4,0
2025-08-19,SKU-003,90.4,25,72.4,1
2025-08-20,SKU-003,106.6,19,72.4,0
2025-08-21,SKU-003,105.21,24,72.4,0
2025-08-22,SKU-003,105.45,25,72.4,0
2025-08-23,SKU-003,93.41,35,72.4,1
2025-08-24,SKU-003,101.69,24,72.4,0
2025-08-25,SKU-003,109.72,18,72.4,0
2025-08-26,SKU-003,101.74,17,72.4,0
2025-08-27,SKU-003,105.9,23,72.4,0
2025-08-28,SKU-003,100.45,27,72.4,0
2025-08-29,SKU-003,106.86,23,72.4,0
2025-08-30,SKU-003,105.93,21,72.4,0
2025-08-31,SKU-003,99.72,21,72.4,0
2025-09-01,SKU-003,103.52,20,72.4,0
2025-09-02,SKU-003,105.5,23,72.4,0
2025-09-03,SKU-003,103.97,27,72.4,0
2025-09-04,SKU-003,111.14,21,72.4,0
2025-09-05,SKU-003,77.14,26,72.4,1
2025-09-06,SKU-003,78.35,42,72.4,1
2025-09-07,SKU-003,97.93,32,72.4,1
2025-09-08,SKU-003,104.74,17,72.4,0
2025-09-09,SKU-003,98.53,27,72.4,1
2025-09-10,SKU-003,102.63,22,72.4,0
2025-09-11,SKU-003,103.14,16,72.4,0
2025-09-12,SKU-003,101.77,26,72.4,0
2025-09-13,SKU-003,107.32,23,72.4,0
2025-09-14,SKU-003,91.26,35,72.4,1
2025-09-15,SKU-003,84.83,53,72.4,1
2025-09-16,SKU-003,101.01,26,72.4,0
2025-09-17,SKU-003,106.86,27,72.4,0
2025-09-18,SKU-003,104.68,23,72.4,0
2025-09-19,SKU-003,103.35,16,72.4,0
2025-09-20,SKU-003,103.39,19,72.4,0
2025-09-21,SKU-003,106.61,26,72.4,0
2025-09-22,SKU-003,81.67,30,72.4,1
2025-09-23,SKU-003,84.58,20,72.4,1
2025-09-24,SKU-003,91.45,29,72.4,1
2025-09-25,SKU-003,102.34,25,72.4,0
2025-09-26,SKU-003,104.87,20,72.4,0
2025-09-27,SKU-003,102.6,21,72.4,0
2025-09-28,SKU-003,105.99,23,72.4,0
2025-09-29,SKU-003,106.74,17,72.4,0
2025-09-30,SKU-003,103.02,22,72.4,0
2025-10-01,SKU-003,79.23,39,72.4,1
2025-10-02,SKU-003,88.25,32,72.4,1
2025-10-03,SKU-003,106.64,21,72.4,0
2025-10-04,SKU-003,87.9,47,72.4,1
2025-10-05,SKU-003,107.62,29,72.4,0
2025-10-06,SKU-003,106.36,28,72.4,0
2025-10-07,SKU-003,103.45,17,72.4,0
2025-10-08,SKU-003,110.61,27,72.4,0
2025-10-09,SKU-003,107.59,24,72.4,0
2025-10-10,SKU-003,104.22,27,72.4,0
2025-10-11,SKU-003,106.45,23,72.4,0
2025-10-12,SKU-003,104.92,30,72.4,0
2025-10-13,SKU-003,103.4,18,72.4,0
2025-10-14,SKU-003,105.56,24,72.4,0
2025-10-15,SKU-003,105.28,22,72.4,0
2025-10-16,SKU-003,104.29,19,72.4,0
2025-10-17,SKU-003,99.35,22,72.4,0
2025-10-18,SKU-003,99.99,30,72.4,0
2025-10-19,SKU-003,103.68,22,72.4,0
2025-10-20,SKU-003,105.94,26,72.4,0
2025-10-21,SKU-003,103.5,19,72.4,0
2025-10-22,SKU-003,103.63,25,72.4,0
2025-10-23,SKU-003,106.43,22,72.4,0
2025-10-24,SKU-003,104.74,25,72.4,0
2025-10-25,SKU-003,105.13,26,72.4,0
2025-10-26,SKU-003,108.37,22,72.4,0
2025-10-27,SKU-003,98.62,36,72.4,0
2025-10-28,SKU-003,106.68,25,72.4,0
2025-10-29,SKU-003,102.35,26,72.4,0
2025-10-30,SKU-003,92.96,34,72.4,1
2025-10-31,SKU-003,101.27,26,72.4,0
2025-11-01,SKU-003,103.63,32,72.4,0
2025-11-02,SKU-003,109.37,23,72.4,0
2025-11-03,SKU-003,78.77,38,72.4,1
2025-11-04,SKU-003,103.44,22,72.4,0
2025-11-05,SKU-003,105.15,22,72.4,0
2025-11-06,SKU-003,105.69,16,72.4,0
2025-11-07,SKU-003,106.07,20,72.4,0
2025-11-08,SKU-003,100.88,28,72.4,0
2025-11-09,SKU-003,78.33,32,72.4,1
2025-11-10,SKU-003,100.33,20,72.4,0
2025-11-11,SKU-003,97.47,29,72.4,1
2025-11-12,SKU-003,92.21,31,72.4,1
2025-11-13,SKU-003,107.09,28,72.4,0
2025-11-14,SKU-003,104.93,37,72.4,0
2025-11-15,SKU-003,102.64,23,72.4,0
2025-11-16,SKU-003,106.14,18,72.4,0
2025-11-17,SKU-003,103.28,26,72.4,0
2025-11-18,SKU-003,103.71,16,72.4,0
2025-11-19,SKU-003,106.01,26,72.4,0
2025-11-20,SKU-003,102.79,25,72.4,0
2025-11-21,SKU-003,105.6,24,72.4,0
2025-11-22,SKU-003,92.94,43,72.4,1
2025-11-23,SKU-003,102.99,24,72.4,0
2025-11-24,SKU-003,104.01,21,72.4,0
2025-11-25,SKU-003,101.56,24,72.4,0
2025-11-26,SKU-003,103.4,20,72.4,0
2025-11-27,SKU-003,103.22,22,72.4,0
2025-11-28,SKU-003,106.83,18,72.4,0
2025-11-29,SKU-003,101.74,28,72.4,0
2025-11-30,SKU-003,99.84,36,72.4,0
2025-12-01,SKU-003,112.72,23,72.4,0
2025-12-02,SKU-003,76.06,31,72.4,1
2025-12-03,SKU-003,100.46,19,72.4,0
2025-12-04,SKU-003,105.92,20,72.4,0
2025-12-05,SKU-003,102.9,18,72.4,0
2025-12-06,SKU-003,105.17,25,72.4,0
2025-12-07,SKU-003,86.49,28,72.4,1
2025-12-08,SKU-003,109.76,24,72.4,0
2025-12-09,SKU-003,104.09,21,72.4,1
2025-12-10,SKU-003,102.68,22,72.4,0
2025-12-11,SKU-003,105.4,18,72.4,0
2025-12-12,SKU-003,106.63,19,72.4,0
2025-12-13,SKU-003,107.6,30,72.4,0
2025-12-14,SKU-003,104.52,28,72.4,0
2025-12-15,SKU-003,98.01,21,72.4,0
2025-12-16,SKU-003,104.24,27,72.4,0
2025-12-17,SKU-003,108.35,21,72.4,0
2025-12-18,SKU-003,102.23,24,72.4,0
2025-12-19,SKU-003,105.09,25,72.4,0
2025-12-20,SKU-003,103.05,23,72.4,0
2025-12-21,SKU-003,101.33,24,72.4,0
2025-12-22,SKU-003,96.14,29,72.4,1
2025-12-23,SKU-003,108.63,23,72.4,0
2025-12-24,SKU-003,104.96,23,72.4,0
2025-12-25,SKU-003,103.16,24,72.4,0
2025-12-26,SKU-003,101.15,22,72.4,0
2025-12-27,SKU-003,89.72,48,72.4,1
2025-07-01,SKU-004,86.34,6,48.16,0
2025-07-02,SKU-004,84.64,9,48.16,0
2025-07-03,SKU-004,87.58,9,48.16,0
2025-07-04,SKU-004,88.85,8,48.16,0
2025-07-05,SKU-004,85.86,9,48.16,0
2025-07-06,SKU-004,83.98,9,48.16,0
2025-07-07,SKU-004,86.31,8,48.16,0
2025-07-08,SKU-004,88.05,7,48.16,0
2025-07-09,SKU-004,87.53,7,48.16,0
2025-07-10,SKU-004,79.19,15,48.16,1
2025-07-11,SKU-004,87.55,7,48.16,0
2025-07-12,SKU-004,70.44,14,48.16,1
2025-07-13,SKU-004,75.35,18,48.16,1
2025-07-14,SKU-004,83.39,9,48.16,0
2025-07-15,SKU-004,95.03,8,48.16,0
2025-07-16,SKU-004,85.81,10,48.16,0
2025-07-17,SKU-004,79.44,13,48.16,1
2025-07-18,SKU-004,82.63,7,48.16,0
